Company,Job Title,Location,Category,Contact Email,Apply URL,Team Size
Apheris,Operations Manager & Executive Assistant,Berlin,⚙️ Operations & Recruiting,info@apheris.com,https://apheris.jobs.personio.com/job/2635120,11-50
Apheris,Talent Acquisition Partner,Remote,⚙️ Operations & Recruiting,info@apheris.com,https://apheris.jobs.personio.com/job/2613225,11-50
Archbee,People Operations Specialist,Prague,⚙️ Operations & Recruiting,support@archbee.com,https://ipfabric.io/jobs-listing/?gh_jid=4848806101,12-12
Beem,Office & HR Manager - CDI,Nantes,⚙️ Operations & Recruiting,thierry@beemenergy.com,https://jobs.lever.co/BeemEnergy/c1cc68f9-3cfe-4fbb-9d61-249a4acdbdb8,20-49
Better Dairy,Chief Scientific Officer,Remote,⚙️ Operations & Recruiting,hello@betterdairy.com,https://betterdairy.com/team,11-50
Bitstack,Financial Crime Officer,Paris,⚙️ Operations & Recruiting,contact@bitstack-app.com,https://jobs.ashbyhq.com/bitstack/839593cd-ab1e-4aee-b16a-58dbf3d239e4,11-50
Born Digital,DevOps Engineer (Medior),Prague,⚙️ Operations & Recruiting,info@borndigital.ai,https://borndigital.ai/company/careers-open-jobs-in-ai-startup/devops-engineer/,45-45
Brickken,DevOps Architect,Remote,⚙️ Operations & Recruiting,hello@brickken.com,https://brickken.com/about-us,11-50
Chift,DevOps Engineer,Brussels,⚙️ Operations & Recruiting,info@chift.eu,https://chift.notion.site/Devops-Engineer-2edea3e082ff800e9affe7dffee7b857,31-37
Cloover,Energy Customer Operations - German speaking (on-site),Berlin,⚙️ Operations & Recruiting,contact@cloover.co,https://cloover.jobs.personio.com/job/2621987,11-50
Cloover,Energy Operations Intern (German speaking),Berlin,⚙️ Operations & Recruiting,contact@cloover.co,https://cloover.jobs.personio.com/job/2643283,11-50
Cloover,Financial Operations Intern - German speaking (on-site),Berlin,⚙️ Operations & Recruiting,contact@cloover.co,https://cloover.jobs.personio.com/job/2595434,11-50
Companion.energy,Business Operations,Ghent,⚙️ Operations & Recruiting,apply@companion.energy,,10-25
Conduct,Head of Talent,London,⚙️ Operations & Recruiting,data@conduct-ai.com,https://jobs.ashbyhq.com/conduct/9605a385-e506-441f-befa-c0388042a3ea,11-50
Contentoo,Senior Customer Success Operations Specialist,Amsterdam,⚙️ Operations & Recruiting,info@contentoo.com,https://jobs.ashbyhq.com/contentoo/e831e19a-17fb-446c-87a0-0dd1c3073e29,30-50
Conveo,Financial Operations Lead,London,⚙️ Operations & Recruiting,hello@conveo.ai,https://jobs.ashbyhq.com/conveo/fac3ba68-3da5-4593-b306-4916d2cac403,17-25
Conveo,Talent Partner,New York,⚙️ Operations & Recruiting,hello@conveo.ai,https://jobs.ashbyhq.com/conveo/3f12e90d-acce-4eaf-8612-17db82ebfd47,17-25
CrescItalia,Addetto/a Operations-Backoffice,Milano,⚙️ Operations & Recruiting,careers@crescitalia.com,https://www.crescitalia.com/en/chi-siamo/careers,35-40
Crypto Quantique,DevOps Engineer,London,⚙️ Operations & Recruiting,pr@cryptoquantique.com,https://www.cryptoquantique.com/careers/devops-engineer,11-50
CurifyLabs,Finance Operations Specialist – Helsinki HQ,Helsinki,⚙️ Operations & Recruiting,sales@curifylabs.com,https://curifylabs.teamtailor.com/jobs/7634659-finance-operations-specialist-helsinki-hq,20-50
Cutr,Operations Manager,Remote,⚙️ Operations & Recruiting,hello@cutr.com,https://cutr.com/about-us,11-50
DeepJudge,DevOps Engineer,Zurich,⚙️ Operations & Recruiting,info@deepjudge.ai,https://jobs.ashbyhq.com/deepjudge/9f0359e5-4ec1-40a0-9803-700497b2512e,38-40
DeepJudge,"Executive Assistant to the CEO/extended C-Level (6-Month Cover, Open to Permanent)",Zurich,⚙️ Operations & Recruiting,info@deepjudge.ai,https://jobs.ashbyhq.com/deepjudge/73b6bdd9-06f1-4a06-8bae-06ee1ba96005,38-40
DinMo,Business Operations Manager,Paris,⚙️ Operations & Recruiting,hello@dinmo.com,https://www.welcometothejungle.com/en/companies/dinmo/jobs/business-operations-manager_paris,20-28
Done,Battery Operations Manager,Stockholm,⚙️ Operations & Recruiting,kontakt@doneservices.se,https://careers.doneservices.se/jobs/7686114-battery-operations-manager,15-20
Done,Battery Operations Manager (Part-time),Stockholm,⚙️ Operations & Recruiting,kontakt@doneservices.se,https://careers.doneservices.se/jobs/7705803-battery-operations-manager-part-time,15-20
Done,Operations Associate (part-time),Stockholm,⚙️ Operations & Recruiting,kontakt@doneservices.se,https://careers.doneservices.se/jobs/6605206-operations-associate-part-time,15-20
Donna,Finance & Operations Associate,Ghent,⚙️ Operations & Recruiting,info@askdonna.com,https://careers.askdonna.com/o/finance-operations-associate,38-45
Dust,Senior People Ops,San Franciso,⚙️ Operations & Recruiting,hello@dust.tt,https://jobs.ashbyhq.com/dust/5c4e9423-e7ca-48e1-9272-63071ccb4ce9,11-50
Dust,Senior Talent Acquisition Partner,Paris,⚙️ Operations & Recruiting,hello@dust.tt,https://jobs.ashbyhq.com/dust/5f996467-a3ff-404b-922d-c39c2c718f75,11-50
Enhanced Genomics,"We're not recruiting at the moment, but that could change soon",Cambridge,⚙️ Operations & Recruiting,info@enhanc3dgenomics.com,https://enhanc3dgenomics.com/careers,31-50
FELS Group,CEO Chief Executive Officer,Kelkheim,⚙️ Operations & Recruiting,service@followmymoney.de,https://followmymoney.de/team,11-50
FELS Group,Chief Finance Officer,Kelkheim,⚙️ Operations & Recruiting,service@followmymoney.de,https://followmymoney.de/team,11-50
Fairlo,Office manager - part time,Iraklio,⚙️ Operations & Recruiting,elisabeth.hanna@fairlo.se,https://careers.fairlo.se/jobs/6360846-office-manager-part-time,30-40
Finary,Care Operations,Paris,⚙️ Operations & Recruiting,hello@finary.com,https://jobs.ashbyhq.com/finary/b85b0246-a47c-4bfc-acb4-32ba664c5bd5,50-50
Findly,Senior DevOps Engineer,Remote,⚙️ Operations & Recruiting,founders@findly.ai,https://www.ycombinator.com/companies/findly/jobs/mov1Lt8-senior-devops-engineer,11-11
Flexion,Finance & Operations Associate,Zurich,⚙️ Operations & Recruiting,contact@flexion.ai,https://flexion.ai/careers/5818c8,31-50
Flexion,Talent Acquisition Partner,Zurich,⚙️ Operations & Recruiting,contact@flexion.ai,https://flexion.ai/careers/52f572,31-50
Fluves,Corporate IT & Security Operations Lead,Ghent,⚙️ Operations & Recruiting,info@fluves.com,https://www.fluves.com/jobs/corporate-it-security-operations-lead,10-20
GoDutch,Chief Financial Officer (CFO),Amsterdam,⚙️ Operations & Recruiting,info@godutch.com,https://godutch.teamtailor.com/jobs/7015406-chief-financial-officer-cfo,11-50
GoDutch,Operations Stagiair @ GoDutch,Amsterdam,⚙️ Operations & Recruiting,info@godutch.com,https://godutch.teamtailor.com/jobs/7015387-operations-stagiair-godutch,11-50
Healthtech-1,Founding Talent Partner,London,⚙️ Operations & Recruiting,raj@healthtech1.uk,https://jobs.ashbyhq.com/Healthtech-1/364ff048-9e33-49f1-ac91-f8791cc68701,28-31
Hook,Talent Partner,London,⚙️ Operations & Recruiting,contact@hook.co,https://jobs.ashbyhq.com/hook/6445e56c-2a1a-40f0-8146-7cd5f5e291a7,40-50
Instimatch Global,Chief Revenue Officer & Head of Continental Europe,Zurich,⚙️ Operations & Recruiting,hello@instimatch.com,https://www.instimatch.com/about-us,15-15
Instimatch Global,Chief Technology Officer,Zurich,⚙️ Operations & Recruiting,hello@instimatch.com,https://www.instimatch.com/about-us,15-15
Integral,Senior DevOps Engineer (f/m/d),Berlin,⚙️ Operations & Recruiting,info@integral.de,https://integral.jobs.personio.com/job/2594591,10-50
Ivy,CEO Office - Associate,New York City,⚙️ Operations & Recruiting,hello@getivy.de,https://jobs.ashbyhq.com/get-ivy/b4baea97-a826-47b7-b393-31d050810e30,11-50
Ivy,Customer Operations Lead,New York City,⚙️ Operations & Recruiting,hello@getivy.de,https://jobs.ashbyhq.com/get-ivy/23c9a42c-817d-4f26-93bb-90c3fe69192d,11-50
Ivy,Deputy BSA Officer,New York City,⚙️ Operations & Recruiting,hello@getivy.de,https://jobs.ashbyhq.com/get-ivy/104d5e04-10cc-4b46-beda-184b160f4f73,11-50
Ivy,Fincrime Operations Lead,New York City,⚙️ Operations & Recruiting,hello@getivy.de,https://jobs.ashbyhq.com/get-ivy/ac738797-104c-4e9a-bfc2-175eed136b43,11-50
Ivy,People & Talent,New York City,⚙️ Operations & Recruiting,hello@getivy.de,https://jobs.ashbyhq.com/get-ivy/0836f948-5280-4692-8000-521e7cddc7d6,11-50
Ivy,Senior DevOps Engineer,Berlin,⚙️ Operations & Recruiting,hello@getivy.de,https://jobs.ashbyhq.com/get-ivy/77678d7c-5ab7-472d-98da-207c3642057f,11-50
Just Russel,Operations hero,Deinze,⚙️ Operations & Recruiting,victor@justrussel.com,https://justrussel.recruitee.com/o/operations-hero,47-50
Koncrete,[CDI] Ops Manager / Responsable Opérationnel H/F,Paris,⚙️ Operations & Recruiting,contact@koncrete.fr,https://www.welcometothejungle.com/en/companies/koncrete/jobs/cdi-product-builder_paris,10-50
Koncrete,[CDI] Responsable Administratif et Financier (RAF) / Finance Manager,Paris,⚙️ Operations & Recruiting,contact@koncrete.fr,https://www.welcometothejungle.com/en/companies/koncrete/jobs/cdi-temps-partiel-assistant-comptable-admin_paris,10-50
Kreditz,Compliance Officer,Danderyd,⚙️ Operations & Recruiting,lorenzo@kreditz.com,https://careers.kreditz.com/jobs/7220625-compliance-officer,35-50
Kreditz,DevOps Engineer,Danderyd,⚙️ Operations & Recruiting,lorenzo@kreditz.com,https://careers.kreditz.com/jobs/7213057-devops-engineer,35-50
Langdock,AI Marketing Operations,Remote,⚙️ Operations & Recruiting,info@langdock.com,https://jobs.ashbyhq.com/langdock/1ea54fdb-13a2-430e-9ab4-f373351cae59,11-50
Leexi AI,"Assistant(e) administration des ventes, facturation et recouvrement",Brussels,⚙️ Operations & Recruiting,info@leexi.ai,https://jobs.leexi.ai/en/jobs/assistant-e-administration-des-ventes-facturation-et-recouvrement-10,20-50
Lenkie,Operations Analyst,Remote,⚙️ Operations & Recruiting,hello@lenkie.com,https://lenkie.com/notion/operations-analyst,11-50
Lightium,Full Stack / DevOps Engineer,Schlieren,⚙️ Operations & Recruiting,hello@lightium.com,https://careers.lightium.com/jobs/7607046-full-stack-devops-engineer,11-50
Lindus Health,"Associate Director, Clinical Operations",London,⚙️ Operations & Recruiting,hello@lindushealth.com,https://jobs.ashbyhq.com/lindushealth/7763cd31-c04a-41b1-885d-e85c2633b96a,11-50
Lindus Health,Participant Recruitment Coordinator - UK - Freelance,Remote,⚙️ Operations & Recruiting,hello@lindushealth.com,https://jobs.ashbyhq.com/lindushealth/cc028e57-dca0-4cb1-ba84-1a3b46fdd157,11-50
Lindus Health,Vice President of Clinical Operations,Remote,⚙️ Operations & Recruiting,hello@lindushealth.com,https://jobs.ashbyhq.com/lindushealth/427d0490-8b51-49f5-b7d9-bf5810bacecc,11-50
Lucis,Executive assistant,Paris,⚙️ Operations & Recruiting,contact@lucis.life,https://jobs.ashbyhq.com/lucis/8a48c04a-4a74-4af5-8f9b-bed4eb02f143,11-50
Lucis,Ops Associate,Paris,⚙️ Operations & Recruiting,contact@lucis.life,https://jobs.ashbyhq.com/lucis/70de353c-3722-47ec-a99a-0a960815e3c2,11-50
MAGIC AI,Customer Experience Coordinator,London,⚙️ Operations & Recruiting,info@magic.fit,https://apply.workable.com/magic-careers/j/BF9CCDC44E/,25-40
MAHI,"(Sr.) Associate - Talent & Venture Development (gn) @ FoodLabs Core Team, Berlin",Berlin,⚙️ Operations & Recruiting,jobs@mahi.be,https://jobsatlanticvcfoodlabs.recruitee.com/o/sr-associate-talent-venture-development-gn-foodlabs-core-team-berlin,10-20
MAHI,"Chief Technology Officer (CTO) (gn) @ Early-Stage Autonomous Production Venture, Germany",Berlin,⚙️ Operations & Recruiting,jobs@mahi.be,https://jobsatlanticvcfoodlabs.recruitee.com/o/chief-technology-officer-cto-gn-early-stage-autonomous-production-venture-germany,10-20
MAHI,"Head of Operations (gn) @ DeepTech Hardware Venture, Konstanz (DE)",Konstanz,⚙️ Operations & Recruiting,jobs@mahi.be,https://jobsatlanticvcfoodlabs.recruitee.com/o/head-of-operations-gn-deeptech-hardware-venture-konstanz-de,10-20
MAHI,"Talent Acquisition Manager (gn) @ Defencetech Venture, Mechelen, Belgium",Mechelen,⚙️ Operations & Recruiting,jobs@mahi.be,https://jobsatlanticvcfoodlabs.recruitee.com/o/talent-acquisition-manager-gn-defencetech-venture-mechelen-belgium,10-20
MAHI,"Talent Lead (gn) @ SpaceTech Venture, Reading (UK)",Reading,⚙️ Operations & Recruiting,jobs@mahi.be,https://jobsatlanticvcfoodlabs.recruitee.com/o/talent-lead-gn-spacetech-venture-reading-uk,10-20
METYCLE,Senior Manager Operations (m/f/d) - Europe,Remote,⚙️ Operations & Recruiting,trading@metycle.com,https://metycle.jobs.personio.com/job/2644486,38-40
Mantyx,Senior Backend/DevOps Engineer,Melle,⚙️ Operations & Recruiting,joris.roels@mantyx.ai,https://www.mantyx.ai/careers/senior-backend-devops-engineer,4-10
Newcode.ai,"Executive Assistant - Dublin, Ireland",Dublin,⚙️ Operations & Recruiting,info@newcode.ai,https://apply.workable.com/newcode/j/B2C43FB27D/,10-15
Newcode.ai,Executive Assistant - Oslo,Oslo,⚙️ Operations & Recruiting,info@newcode.ai,https://apply.workable.com/newcode/j/F3EA258223/,10-15
Nymiz,Sale Effectiveness & Operations Analyst,Barcelona,⚙️ Operations & Recruiting,info@nymiz.com,https://www.nymiz.com/job-opening/sale-effectiveness-operations-analyst/,6-10
ONIQ,Lead DevOps Engineer (f/m/d),Remote,⚙️ Operations & Recruiting,jobs@oniq.com,https://oniq.jobs.personio.com/job/2591536,15-25
Octave,Operations & Portfolio Manager - EMS,Mechelen,⚙️ Operations & Recruiting,recruitment@octave.energy,https://octave.energy/careers,11-50
Octave,Support & Operations Engineer - BESS,Mechelen,⚙️ Operations & Recruiting,recruitment@octave.energy,https://octave.energy/careers,11-50
Open Payments,DevSecOps Engineer,Stockholm,⚙️ Operations & Recruiting,info@openpayments.io,https://jobs.openpayments.io/jobs/6406004-devsecops-engineer,11-50
Optimile,Growth & Marketing Operations Manager,Ghent,⚙️ Operations & Recruiting,info@optimile.eu,https://apply.workable.com/optimile/j/52351D90B5/,30-34
Outsight,DevSecOps Engineer,Paris,⚙️ Operations & Recruiting,info@outsight.ai,https://jobs.lever.co/outsight/b6620e7c-fc8d-492b-994d-8b158482ac49,30-50
Peec AI,Revenue Operations Lead,New York City,⚙️ Operations & Recruiting,hello@peec.ai,https://jobs.ashbyhq.com/peec/8307a822-aec5-4a45-be6b-a8ecdecc002a,11-50
Peec AI,Revenue Operations Lead,Berlin,⚙️ Operations & Recruiting,hello@peec.ai,https://jobs.ashbyhq.com/peec/63323a09-4923-4f44-90c7-af9289621981,11-50
Peec AI,Visiting Talent Associate,Berlin,⚙️ Operations & Recruiting,hello@peec.ai,https://jobs.ashbyhq.com/peec/cc19786f-5e36-4493-b59a-a5f9f992a235,11-50
PitPat,Operations & Support,Cambridge,⚙️ Operations & Recruiting,talent@pitpatpet.com,https://www.pitpat.com/careers/operations-and-support/,40-45
Planted Green,Sustainability & Material Compliance Officer,Remote,⚙️ Operations & Recruiting,hi@planted.green,https://en.planted.green/team,10-50
Planted Green,Sustainability Officer,Remote,⚙️ Operations & Recruiting,hi@planted.green,https://en.planted.green/team,10-50
Predikt,Talent & HR Manager,Leuven,⚙️ Operations & Recruiting,hello@predikt.ai,https://predikt.ai/careers/talent-hr-manager,11-15
Redpine,Growth & Operations Internship,Stockholm,⚙️ Operations & Recruiting,hello@redpine.ai,https://jobs.ashbyhq.com/redpine/be6b827e-9467-4fdf-955a-bb9f3c093af3,5-10
Relive,Operations Manager:in (m/w/d) in Vollzeit,The Bellezza Group Munchen,⚙️ Operations & Recruiting,info@relive.com,https://thebellezzagroup.recruitee.com/o/operations-managerin-mwd-in-vollzeit,11-50
Relu,Strategic Operations Associate,Leuven,⚙️ Operations & Recruiting,info@relu.ai,https://relu.jobs.personio.com/job/2546043,17-22
Reonic,"Chief of Staff - Sales and Operations (SaaS, Greentech) (m/f/d)",Augsburg,⚙️ Operations & Recruiting,hello@reonic.de,https://jobs.ashbyhq.com/reonic/93443240-3a5e-4d0f-a6df-2bb4e56a1d2e,20-25
Reonic,"Intern Product Operations – France (SaaS, Greentech) (m/f/d)",Berlin,⚙️ Operations & Recruiting,hello@reonic.de,https://jobs.ashbyhq.com/reonic/8d3eb9b7-b373-4e7e-a001-de53489a783e,20-25
Revel8,Founders Associate - Deal Operations & Legal (all genders),Munich,⚙️ Operations & Recruiting,info@revel8.ai,https://revel8.jobs.personio.com/job/2643788,11-50
Roundtable,Fund Operations Associate (Luxembourg) - M/F,Luxembourg,⚙️ Operations & Recruiting,contact@roundtable.eu,https://www.welcometothejungle.com/en/companies/roundtable/jobs/fund-operations-associate-luxembourg-m-f_luxembourg,40-50
Roundtable,Operations Associate (Luxembourg) - M/F,Luxembourg,⚙️ Operations & Recruiting,contact@roundtable.eu,https://www.welcometothejungle.com/en/companies/roundtable/jobs/operations-associate-luxembourg-m-f_luxembourg_ROUND_YLK3WAe,40-50
Roundtable,Senior Operations Associate (M/F),Paris,⚙️ Operations & Recruiting,contact@roundtable.eu,https://www.welcometothejungle.com/en/companies/roundtable/jobs/senior-operations-associate-m-f_paris,40-50
Runware,Staff DevOps Engineer,Remote,⚙️ Operations & Recruiting,info@runware.ai,https://apply.workable.com/runware/j/FC21A14B50/,28-28
SCRL,Office & Operations Manager,Stockholm,⚙️ Operations & Recruiting,info@scrlapp.com,https://careers.scrl.com/jobs/7052739-office-operations-manager,30-50
Safello,Compliance Officer,Stockholm,⚙️ Operations & Recruiting,press@safello.com,https://careers.safello.com/jobs/7645105-compliance-officer,30-40
Sciential,Operations Management Internship in Rotterdam,Rotterdam,⚙️ Operations & Recruiting,hello@scientialmarketing.com,https://scientialmarketing.com/jobs/operations-management-internship-in-rotterdam40-hours-week/,11-50
Sciential,Werkstudent Admin Support in Rotterdam,Rotterdam,⚙️ Operations & Recruiting,hello@scientialmarketing.com,https://scientialmarketing.com/jobs/werkstudent-admin-support-in-rotterdam-8-10-hours-week/,11-50
Scope AI,Lead Talent Partner,London,⚙️ Operations & Recruiting,hello@getscope.ai,https://jobs.ashbyhq.com/getscope/51133003-28f7-4c8e-82d4-7b46e9e24e56,11-50
Sensmore,ML Ops / Data Engineer - Robotics,Potsdam,⚙️ Operations & Recruiting,info@sensmore.ai,https://jobs.ashbyhq.com/sensmore/9186b8bd-96af-4f83-8e36-216479721a2d,11-50
Stacks,GTM Talent Partner (Contract),London,⚙️ Operations & Recruiting,hello@stacks.ai,https://jobs.ashbyhq.com/stacks/39017126-f8a7-463c-ba5b-29675689db1e,11-50
Staxxer,Administratief Medewerker,Nijmegen,⚙️ Operations & Recruiting,support@staxxer.com,https://jobs.staxxer.com/o/boekhouder,20-30
Strala,Strategy & Operations,San Francisco,⚙️ Operations & Recruiting,[email protected],https://jobs.ashbyhq.com/strala-ai/cd1594a6-1912-420d-801a-5e056274bf39,11-50
Superlinear,DevOps/Cloud Engineer,Brussels,⚙️ Operations & Recruiting,info@superlinear.eu,https://superlinear.recruitee.com/o/devopscloud-engineer,27-34
Tebi,Senior Software/DevOps Engineer,Amsterdam,⚙️ Operations & Recruiting,info@tebi.com,https://jobs.ashbyhq.com/tebi/c81a005e-cb5c-458b-860e-62a8973bde00,11-50
Tebi,Software Engineer (Early Talent),Amsterdam,⚙️ Operations & Recruiting,info@tebi.com,https://jobs.ashbyhq.com/tebi/d1c9cbc7-a47f-4863-83d2-bc7f0639226a,11-50
Toqua,Operations Lead,Ghent,⚙️ Operations & Recruiting,info@toqua.ai,https://toqua.ai/jobs/operations-lead,13-18
Tranched,DevOps Engineer,London,⚙️ Operations & Recruiting,michael@tranched.fi,https://tranched.fi/careers/devops-engineer,5-10
Tropic Square,Operations Specialist,Prague,⚙️ Operations & Recruiting,hr@tropicsquare.com,https://tropicsquare.com/careers/operations-specialist,11-50
Turian,AI Assistant for Supply Chain,Berlin,⚙️ Operations & Recruiting,info@turian.ai,https://www.turian.ai/about-us,11-50
TurinTech AI,Senior Devops Engineer – London,London,⚙️ Operations & Recruiting,contact@turintech.ai,https://turintech.ai/careers/devops-engineer---london,39-47
Vocca,Business Ops & Deployment Manager,Paris,⚙️ Operations & Recruiting,contact@vocca.ai,https://jobs.ashbyhq.com/vocca/7f926f1a-cb30-41e3-9961-2af54cc90116,11-50
Vocca,Business Ops / Deployment Manager - 6 months internship (end of study),Paris,⚙️ Operations & Recruiting,contact@vocca.ai,https://jobs.ashbyhq.com/vocca/c668996f-6374-4dfa-a176-32686c54750c,11-50
Wehype,Chief Product & Technology Officer (CPTO),Stockholm,⚙️ Operations & Recruiting,info@wehype.com,https://career.wehype.com/jobs/6919114-chief-product-technology-officer-cpto,11-50
Wexler,Business Operations Lead,Chicago,⚙️ Operations & Recruiting,hello@wexler.ai,https://jobs.ashbyhq.com/Pear-VC/8ab59b12-e968-44b9-8e6f-76d177ed62a9,2-10
Wexler,Chief of Staff/Business Operations - Matter Intelligence,Palo Alto,⚙️ Operations & Recruiting,hello@wexler.ai,https://jobs.ashbyhq.com/Pear-VC/bddb5261-0b26-4dfc-914b-55641e68a8d5,2-10
Wexler,Executive Assistant - Pear VC,Menlo Park,⚙️ Operations & Recruiting,hello@wexler.ai,https://jobs.ashbyhq.com/Pear-VC/3a85bbdb-b425-4775-aa71-a770dd219660,2-10
Wexler,Founding Team – Ops & GTM,New York City,⚙️ Operations & Recruiting,hello@wexler.ai,https://jobs.ashbyhq.com/Pear-VC/d6dffb09-543c-4b50-b163-e03fe80df5cf,2-10
Wexler,Operations Associate - Founding Team Member,Austin,⚙️ Operations & Recruiting,hello@wexler.ai,https://jobs.ashbyhq.com/Pear-VC/d795e78b-a5bd-42ef-8fc2-76cc298e24b9,2-10
Wexler,Senior DevOps Engineer - Pay-i,Seattle,⚙️ Operations & Recruiting,hello@wexler.ai,https://jobs.ashbyhq.com/Pear-VC/1affe023-3da8-4ad4-bddc-584e15cf74a8,2-10
Wobby,DevOps Engineer,Round Rock,⚙️ Operations & Recruiting,info@wobby.ai,https://jobs.lever.co/actian/56c3193f-4db2-4b55-9006-a755674bfbfe,7-12
Wobby,RevOps AI Analyst Intern,US-Remote,⚙️ Operations & Recruiting,info@wobby.ai,https://jobs.lever.co/actian/48f59212-c512-49e3-be44-1c6f68abf188,7-12
Zeno,Revops / GTM Engineering Lead,Rotterdam,⚙️ Operations & Recruiting,info@zeno.law,https://jobs.ashbyhq.com/zeno/8e224be6-9a9c-45a6-b05f-b638dd21d824,2-10
ZyGo,HR Manager,Zonnebeke,⚙️ Operations & Recruiting,hello@zygo.be,https://zygo.be/careers/hr-manager,6-20
ZyGo,Office & Business Support Manager,Zonnebeke,⚙️ Operations & Recruiting,hello@zygo.be,https://zygo.be/careers/office-business-support-manager,6-20
ecoplanet,Marketing Operations Specialist,Munchen,⚙️ Operations & Recruiting,info@ecoplanet.tech,https://ecoplanet-green-operations-gmbh.jobs.personio.com/job/2587083,35-40
ecoplanet,People & Talent Generalist,Munchen,⚙️ Operations & Recruiting,info@ecoplanet.tech,https://ecoplanet-green-operations-gmbh.jobs.personio.com/job/2561774,35-40
feld.energy,(Senior) Process & Operations Manager (m/w/d) EPC,Office Munchen,⚙️ Operations & Recruiting,info@feld.energy,https://feld-energy.jobs.personio.com/job/2460460,10-25
feld.energy,Head of Operations and Maintenance (m/w/d) - Agri-PV,Office Munchen,⚙️ Operations & Recruiting,info@feld.energy,https://feld-energy.jobs.personio.com/job/2418951,10-25
feld.energy,LKW- / Berufskraftfahrer C (m/w/d) Süddeutschland,Office Munchen,⚙️ Operations & Recruiting,info@feld.energy,https://feld-energy.jobs.personio.com/job/2491071,10-25
forward earth,"Founders Associate (m/f/d) – Finance, Strategy & Ops",Berlin,⚙️ Operations & Recruiting,info@forward-earth.com,https://forwardearth.recruitee.com/o/founders-associate-mfd-finance-strategy-ops,11-50
forward earth,VP Operations,Berlin,⚙️ Operations & Recruiting,info@forward-earth.com,https://forwardearth.recruitee.com/o/vp-operations,11-50
iPronics,Administrative & Accountant Assistant,Valencia,⚙️ Operations & Recruiting,info@ipronics.com,https://app.sesametime.com/jobs/ipronicsprogrammablephotonicssl/800daa96-12b1-466c-9bbe-d8e5f1edb850/,44-44
iPronics,Operations Planner,Valencia,⚙️ Operations & Recruiting,info@ipronics.com,https://app.sesametime.com/jobs/ipronicsprogrammablephotonicssl/d5d8b133-3ea1-4dd9-a9d9-7bce4f6aa91e/,44-44
mediasmart,Sr. DevOps Engineer,Remote,⚙️ Operations & Recruiting,info@mediasmart.io,https://job-boards.greenhouse.io/mediasmart/jobs/7908891,11-50
7Analytics,Product Marketing Manager,Oslo,📣 Growth & Marketing Automation,contact@7analytics.ai,https://jobs.startuplab.no/companies/muybridge/jobs/74411974-product-marketing-manager#content,20-30
"80,000 Hours",Pair Writer / Writing Support to Aric Floyd,London,🤝 Customer Success & Support,info@80000hours.org,https://80000hours.org/2026/04/open-contracting-position-on-the-video-team-pair-writer-writing-support-to-aric-floyd/,30-50
"80,000 Hours",Product and Growth Manager,London,📣 Growth & Marketing Automation,info@80000hours.org,https://80000hours.org/2026/05/open-role-product-and-growth-manager/,30-50
AIRMO,Marketing Intern  (w/m/d),Berlin,📣 Growth & Marketing Automation,info@airmo.io,https://airmo.jobs.personio.com/job/2643048,11-50
AIRMO,Product Marketing Manager (w/m/d),Berlin,📣 Growth & Marketing Automation,info@airmo.io,https://airmo.jobs.personio.com/job/2643043,11-50
AXDRAFT,Customer Success Manager,Remote,🤝 Customer Success & Support,info@axdraft.com,https://jobs.lever.co/onit/6877cdb8-fe3a-4c48-b7cd-d710eaadc2ee,14-34
AXDRAFT,"Director, Revenue Marketing",Remote,📣 Growth & Marketing Automation,info@axdraft.com,https://jobs.lever.co/onit/8f8e5af8-a790-4fe6-9e45-31c5e10fa2aa,14-34
Adclear,B2B Growth Marketer,London,📣 Growth & Marketing Automation,hello@adclear.ai,https://www.adclear.ai/careers-b2b-marketer,2-10
Alice,Senior Customer Success Manager (Dutch-speaking),Brugge,🤝 Customer Success & Support,hello@alice.law,https://www.alice.law/careers/senior-customer-success-manager-nl-fr,2-3
Alice,Senior Customer Success Manager (French-speaking),Brugge,🤝 Customer Success & Support,hello@alice.law,https://www.alice.law/careers/senior-customer-success-manager-fr,2-3
Altura,Growth Generalist,Amsterdam,📣 Growth & Marketing Automation,info@altura.io,https://jobs.ashbyhq.com/altura/695eb83e-2191-4351-8d6a-dc0c4580e65a,28-33
Anima,Customer Success Manager,London,🤝 Customer Success & Support,support@animahealth.com,https://jobs.ashbyhq.com/Anima/25876a34-b29f-4e72-96f8-047bb7684636,11-50
Anima,Growth Marketing Lead,London,📣 Growth & Marketing Automation,support@animahealth.com,https://jobs.ashbyhq.com/Anima/b9c595dd-738b-4f56-882f-53e4865ed519,11-50
Anima,Technical Support Lead,London,🤝 Customer Success & Support,support@animahealth.com,https://jobs.ashbyhq.com/Anima/b1540d1b-0517-46c1-abcc-690205e2b760,11-50
Animaj,Social Media Analyst (Intern),Paris,📣 Growth & Marketing Automation,lise@animaj.com,https://animaj.welcomekit.co/jobs/social-media-analyst-intern_paris_ANIMA_5kL29xx,11-50
Archbee,Senior Customer Success Manager,Boston,🤝 Customer Success & Support,support@archbee.com,https://ipfabric.io/jobs-listing/?gh_jid=4364445101,12-12
Archbee,Senior Product Support Engineer,Prague,🤝 Customer Success & Support,support@archbee.com,https://ipfabric.io/jobs-listing/?gh_jid=4016910101,12-12
